X1,X2,X3,Y
-0.30671885327572534,-0.3508483522270369,-0.395398507474934,-0.4402431807285543
-0.3508483522270369,-0.395398507474934,-0.4402431807285543,-0.4851990790153763
-0.395398507474934,-0.4402431807285543,-0.4851990790153763,-0.5308444858464587
-0.4402431807285543,-0.4851990790153763,-0.5308444858464587,-0.5748806528990656
-0.4851990790153763,-0.5308444858464587,-0.5748806528990656,-0.6179560542729774
-0.5308444858464587,-0.5748806528990656,-0.6179560542729774,-0.6583146766953145
-0.5748806528990656,-0.6179560542729774,-0.6583146766953145,-0.686416848277103
-0.6179560542729774,-0.6583146766953145,-0.686416848277103,-0.6859097610491414
-0.6583146766953145,-0.686416848277103,-0.6859097610491414,-0.6601998942104614
-0.686416848277103,-0.6859097610491414,-0.6601998942104614,-0.6107980093359022
-0.6859097610491414,-0.6601998942104614,-0.6107980093359022,-0.5525940856805271
-0.6601998942104614,-0.6107980093359022,-0.5525940856805271,-0.48927918216345545
-0.6107980093359022,-0.5525940856805271,-0.48927918216345545,-0.42411380224846185
-0.5525940856805271,-0.48927918216345545,-0.42411380224846185,-0.35416973315465305
-0.48927918216345545,-0.42411380224846185,-0.35416973315465305,-0.2802281606658581
-0.42411380224846185,-0.35416973315465305,-0.2802281606658581,-0.20593021423439428
-0.35416973315465305,-0.2802281606658581,-0.20593021423439428,-0.13337215113223777
-0.2802281606658581,-0.20593021423439428,-0.13337215113223777,-0.06094309394082176
-0.20593021423439428,-0.13337215113223777,-0.06094309394082176,-0.009897763137902804
-0.13337215113223777,-0.06094309394082176,-0.009897763137902804,0.05835509285922669
-0.06094309394082176,-0.009897763137902804,0.05835509285922669,0.10464085116792976
-0.009897763137902804,0.05835509285922669,0.10464085116792976,0.11408014084767304
0.05835509285922669,0.10464085116792976,0.11408014084767304,0.10384557899657132
0.10464085116792976,0.11408014084767304,0.10384557899657132,0.08542177863444689
0.11408014084767304,0.10384557899657132,0.08542177863444689,0.06619937704572432
0.10384557899657132,0.08542177863444689,0.06619937704572432,0.03999540951945768
0.08542177863444689,0.06619937704572432,0.03999540951945768,0.008258094165001006
0.06619937704572432,0.03999540951945768,0.008258094165001006,-0.02538529081191432
0.03999540951945768,0.008258094165001006,-0.02538529081191432,-0.05924209218791787
0.008258094165001006,-0.02538529081191432,-0.05924209218791787,-0.09362892956568014
-0.02538529081191432,-0.05924209218791787,-0.09362892956568014,-0.0942654819696166
-0.05924209218791787,-0.09362892956568014,-0.0942654819696166,-0.12664674601890347
-0.09362892956568014,-0.0942654819696166,-0.12664674601890347,-0.17227379044960056
-0.0942654819696166,-0.12664674601890347,-0.17227379044960056,-0.20671828776961265
-0.12664674601890347,-0.17227379044960056,-0.20671828776961265,-0.2319500379098074
-0.17227379044960056,-0.20671828776961265,-0.2319500379098074,-0.2548110584536949
-0.20671828776961265,-0.2319500379098074,-0.2548110584536949,-0.2798545612757465
-0.2319500379098074,-0.2548110584536949,-0.2798545612757465,-0.3038081167763562
-0.2548110584536949,-0.2798545612757465,-0.3038081167763562,-0.3264554049642244
-0.2798545612757465,-0.3038081167763562,-0.3264554049642244,-0.3498613621688176
-0.3038081167763562,-0.3264554049642244,-0.3498613621688176,-0.37429567924373564
-0.3264554049642244,-0.3498613621688176,-0.37429567924373564,-0.398796694434185
-0.3498613621688176,-0.37429567924373564,-0.398796694434185,-0.44358794647051203
-0.37429567924373564,-0.398796694434185,-0.44358794647051203,-0.4765697107024648
-0.398796694434185,-0.44358794647051203,-0.4765697107024648,-0.48989581628622836
-0.44358794647051203,-0.4765697107024648,-0.48989581628622836,-0.4934670653242569
-0.4765697107024648,-0.48989581628622836,-0.4934670653242569,-0.4974451043168816
-0.48989581628622836,-0.4934670653242569,-0.4974451043168816,-0.5008303422225318
-0.4934670653242569,-0.4974451043168816,-0.5008303422225318,-0.5027541514519039
-0.4974451043168816,-0.5008303422225318,-0.5027541514519039,-0.5032515463113165
-0.5008303422225318,-0.5027541514519039,-0.5032515463113165,-0.5026222331421477
-0.5027541514519039,-0.5032515463113165,-0.5026222331421477,-0.5000106204700696
-0.5032515463113165,-0.5026222331421477,-0.5000106204700696,-0.4963057960225027
-0.5026222331421477,-0.5000106204700696,-0.4963057960225027,-0.4965272476318324
-0.5000106204700696,-0.4963057960225027,-0.4965272476318324,-0.5076924550887311
-0.4963057960225027,-0.4965272476318324,-0.5076924550887311,-0.5151866454176761
-0.4965272476318324,-0.5076924550887311,-0.5151866454176761,-0.5300406714922368
-0.5076924550887311,-0.5151866454176761,-0.5300406714922368,-0.5517036830376784
